time,open,close,high,low,volume,turnover,color,avg_vol_last_100,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,PP,R1,S1,R2,S2,R3,S3,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,RSI,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,STOCHk_14_3_3,STOCHd_14_3_3,ATR,ROC,CCI
1677213000,23954.82165897078,23917.5,23979.3,23855.5,68.54096929,1639263.458036434,red,175.6892336887,-39.40352425741367,9.90290283944627,-49.306427096859935,23951.225,23978.250000000004,23924.35000000001,24005.125,23897.325000000004,24032.15,23870.450000000008,23902.239274878943,23955.455,24008.670725121054,0.4442889948953638,0.1433854850830487,44.37038888647509,23955.455,23931.345,23934.91625,23941.814173645085,23944.727862977747,23969.195040267303,50.493555704278,55.062669013253895,166.99268218820086,-0.1509164574083759,-44.51470959160508
1677215700,23936.16082948539,23888.975,23936.16082948539,23856.6,49.21235984,1176032.171860722,green,172.4693470592,-41.17294937695624,6.5067821759229645,-47.6797315528792,23917.43333333333,23979.36666666667,23855.56666666667,24041.233333333334,23793.63333333333,24103.166666666668,23731.76666666667,23880.730757803874,23933.135,23985.53924219613,0.4379220874835461,0.078660065012192,42.49016648300925,23933.135,23933.04,23927.43875,23924.20111576339,23934.590978799974,23961.55503643232,43.8850388809696,49.89719519058963,160.7475498522859,0.0710036119683901,-73.69413506999126
1677218400,23912.567914742693,23855.775,23912.567914742693,23781.0,112.32589634,2676978.596199451,red,171.51534404819998,-44.7384767569165,2.3530038367701707,-47.09148059368667,23893.91194316179,23931.223886323583,23851.66305683819,23973.472772647183,23814.3511136764,24010.78471580897,23772.1022273528,23839.577907849856,23912.590000000004,23985.60209215015,0.6106581691916058,0.1109206137857019,40.34714787524291,23912.590000000004,23934.23,23921.115,23901.392410508928,23920.26080083634,23951.48074724829,34.14165773490527,42.840084106717626,158.6632902016007,0.0499079952398737,-116.31461613746114
1677221100,23884.171457371347,23835.125,23913.0,23775.7,83.53071835,1992356.175852337,red,171.8313657342,-48.6694343707677,-1.2623630216648252,-47.40707134910288,23849.78097158089,23918.5619431618,23786.994028419103,23981.34888632359,23718.213056838205,24050.12985790449,23655.42611367641,23806.29225020927,23889.75,23973.20774979073,0.6986908593914152,0.1727386004477008,39.02862574229602,23889.75,23928.41,23915.28875,23879.30327367262,23904.78156432064,23940.39924751036,26.78411932833151,34.9369386480688,157.1373409014863,-0.243582674240612,-107.52824123278712
1677223800,23859.64822868568,23798.35,23865.0,23765.0,66.21012208,1577488.446824596,red,171.8759289038,-54.12822527198296,-5.376923138304065,-48.75130213367889,23841.275,23906.849999999995,23769.55,23978.575,23703.975,24044.15,23632.25,23776.298229392327,23859.145,23941.991770607667,0.694465544407982,0.133087689754983,36.7267873294874,23859.145,23914.7125,23912.0775,23852.31884911508,23885.4303708078,23926.870747747467,18.68971061093245,26.53849589138976,153.05610226566588,-0.5722713186472387,-124.4548720071954
1677226500,23828.999114342834,23846.65,23968.8,23755.1,137.65517674,3285273.922677064,green,172.68121172809998,-53.93521842510745,-4.14713303314285,-49.7880853919646,23809.45,23853.9,23753.9,23909.45,23709.45,23953.9,23653.9,23786.14399626801,23844.975,23903.80600373199,0.4934457153508424,0.5142356911640802,41.598635039855566,23844.975,23900.215,23911.698750000003,23850.429232743387,23878.379394297284,23919.23067653342,18.20637322393551,21.226734387733163,157.3878092466898,-0.6042733662267501,-64.30555063895177
1677229200,23837.82455717141,23868.7,23931.6,23810.5,72.39264516,1727961.713847129,red,172.59623239619998,-51.4103815117378,-1.2978368958185484,-50.11254461591925,23856.849999999995,23958.59999999999,23744.89999999999,24070.55,23643.15,24172.299999999992,23531.19999999999,23792.99489801668,23840.92,23888.845101983326,0.4020407096984895,0.7898272392791655,43.7287664676827,23840.92,23887.0275,23913.83125,23856.5194884956,23876.61950442505,23914.418231149288,21.51137473153949,19.46915285546916,154.7958228719261,-0.5494660023770264,-51.9672364210187
1677231900,23853.26227858571,23833.9,23875.6,23780.5,51.0333249,1215861.50831767,green,171.63658307990002,-51.62242801538014,-1.2079067195687117,-50.41452129581143,23870.266666666663,23930.033333333333,23808.93333333333,23991.366666666665,23749.166666666668,24051.13333333333,23687.833333333336,23790.90356706774,23836.545,23882.186432932263,0.3829534266166637,0.4710241349792194,41.17615605166405,23836.545,23874.5675,23909.00125,23848.979658997065,23868.85232180231,23906.74982818269,25.03306003702782,21.58360266416761,150.5318355239313,-0.5200659473673166,-90.54798704752376
1677234600,23843.58113929285,23861.575,23892.0,23838.7,54.336696,1296506.089579534,green,170.67205106109998,-48.992579230307456,1.1375536524031773,-50.13013288271063,23830.0,23879.5,23784.4,23925.1,23734.9,23974.6,23689.300000000003,23792.12794214992,23841.835000000003,23891.542057850093,0.4169734238164953,0.698563351501625,43.97692524146137,23841.835000000003,23865.792500000003,23901.72875,23853.17810599805,23867.529172383707,23902.447463593864,26.34884951071196,24.29776142642643,143.9295615579361,-0.3663986354521474,-43.84867509376945
1677237300,23852.578069646428,23871.075,23893.2,23835.1,54.88124257,1309863.232961834,green,163.5635634446,-45.616001643935306,3.611304991020269,-49.227306634955575,23864.091666666664,23889.483333333326,23836.183333333327,23917.391666666663,23810.791666666664,23942.78333333333,23782.883333333328,23828.17026054501,23856.38,23884.589739454987,0.2364963959744566,0.7604596902330242,44.94594775931134,23856.38,23857.7625,23896.36125,23859.14373733203,23868.17386831394,23899.45960991826,28.505881605429224,26.629263717723006,137.79887858951224,-0.3352625893085439,-33.54654832444532
