model,duration,best_features,fold,accuracy,f1_score,precision,recall,auc_roc
LightGBM with RFECV Feature Selection,27,"turnover, MACDs_12_26_9, S3, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, ATR",3,0.5897435897435898,0.5766016713091922,0.6369230769230769,0.5267175572519084,0.6323155216284987
LightGBM with RFECV Feature Selection,27,"turnover, MACDs_12_26_9, S3, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, ATR",4,0.6167341430499326,0.6705336426914154,0.6148936170212767,0.7372448979591837,0.6522352494006198
LightGBM with RFECV Feature Selection,27,"turnover, MACDs_12_26_9, S3, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, ATR",5,0.5937921727395412,0.6116129032258064,0.6061381074168798,0.6171875,0.633250175070028
XGBoost with RFECV Feature Selection,30,"time, low, volume, turnover, avg_vol_last_100, MACDh_12_26_9, MACDs_12_26_9, S1, S2, R3, S3, BBB_5_2.0, BBP_5_2.0, RSI, SMA_10, SMA_20, EMA_20, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",1,0.5570570570570571,0.5025295109612142,0.6711711711711712,0.40161725067385445,0.6382201105578145
XGBoost with RFECV Feature Selection,30,"time, low, volume, turnover, avg_vol_last_100, MACDh_12_26_9, MACDs_12_26_9, S1, S2, R3, S3, BBB_5_2.0, BBP_5_2.0, RSI, SMA_10, SMA_20, EMA_20, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",2,0.5870870870870871,0.6857142857142856,0.5988023952095808,0.8021390374331551,0.5881803530876859
XGBoost with RFECV Feature Selection,30,"time, low, volume, turnover, avg_vol_last_100, MACDh_12_26_9, MACDs_12_26_9, S1, S2, R3, S3, BBB_5_2.0, BBP_5_2.0, RSI, SMA_10, SMA_20, EMA_20, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",3,0.6111111111111112,0.6822085889570553,0.6056644880174292,0.7808988764044944,0.6344508880028996
XGBoost with RFECV Feature Selection,30,"time, low, volume, turnover, avg_vol_last_100, MACDh_12_26_9, MACDs_12_26_9, S1, S2, R3, S3, BBB_5_2.0, BBP_5_2.0, RSI, SMA_10, SMA_20, EMA_20, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",4,0.581081081081081,0.6634499396863691,0.5681818181818182,0.7971014492753623,0.6025915391214051
XGBoost with RFECV Feature Selection,30,"time, low, volume, turnover, avg_vol_last_100, MACDh_12_26_9, MACDs_12_26_9, S1, S2, R3, S3, BBB_5_2.0, BBP_5_2.0, RSI, SMA_10, SMA_20, EMA_20, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",5,0.5630630630630631,0.6755852842809364,0.5391459074733096,0.9044776119402985,0.6315191414528566
LightGBM with RFECV Feature Selection,30,"volume, turnover, avg_vol_last_100, MACDh_12_26_9, MACDs_12_26_9, R3, S3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",1,0.5900900900900901,0.6026200873362445,0.6550632911392406,0.5579514824797843,0.6445155100735529
LightGBM with RFECV Feature Selection,30,"volume, turnover, avg_vol_last_100, MACDh_12_26_9, MACDs_12_26_9, R3, S3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",2,0.6081081081081081,0.7037457434733257,0.611439842209073,0.8288770053475936,0.6182788806680829
LightGBM with RFECV Feature Selection,30,"volume, turnover, avg_vol_last_100, MACDh_12_26_9, MACDs_12_26_9, R3, S3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",3,0.6336336336336337,0.6863753213367609,0.6327014218009479,0.75,0.6493022834360276
LightGBM with RFECV Feature Selection,30,"volume, turnover, avg_vol_last_100, MACDh_12_26_9, MACDs_12_26_9, R3, S3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",4,0.5930930930930931,0.6530089628681178,0.5848623853211009,0.7391304347826086,0.6310713801977516
LightGBM with RFECV Feature Selection,30,"volume, turnover, avg_vol_last_100, MACDh_12_26_9, MACDs_12_26_9, R3, S3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",5,0.5915915915915916,0.6851851851851852,0.5595463137996219,0.8835820895522388,0.6552644631825766
XGBoost with RFECV Feature Selection,33,"turnover, avg_vol_last_100, MACD_12_26_9, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, CCI",1,0.5669421487603306,0.576051779935275,0.5913621262458472,0.5615141955835962,0.5983066070802664
XGBoost with RFECV Feature Selection,33,"turnover, avg_vol_last_100, MACD_12_26_9, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, CCI",2,0.6231404958677685,0.6724137931034483,0.612565445026178,0.7452229299363057,0.6278262963206164
XGBoost with RFECV Feature Selection,33,"turnover, avg_vol_last_100, MACD_12_26_9, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, CCI",3,0.5900826446280992,0.5974025974025975,0.6032786885245902,0.5916398713826366,0.6295469956471335
XGBoost with RFECV Feature Selection,33,"turnover, avg_vol_last_100, MACD_12_26_9, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, CCI",4,0.6165289256198347,0.6547619047619048,0.625,0.6875,0.6497039473684211
XGBoost with RFECV Feature Selection,33,"turnover, avg_vol_last_100, MACD_12_26_9, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, CCI",5,0.6049586776859505,0.6294573643410852,0.6424050632911392,0.6170212765957447,0.6582529403991013
LightGBM with RFECV Feature Selection,33,"volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",1,0.5818181818181818,0.579034941763727,0.6126760563380281,0.5488958990536278,0.6217687521906765
LightGBM with RFECV Feature Selection,33,"volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",2,0.628099173553719,0.6715328467153285,0.6199460916442049,0.732484076433121,0.6381574627355703
LightGBM with RFECV Feature Selection,33,"volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",3,0.5950413223140496,0.6104928457869635,0.6037735849056604,0.617363344051447,0.6595139663582474
LightGBM with RFECV Feature Selection,33,"volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",4,0.6181818181818182,0.6577777777777778,0.6253521126760564,0.69375,0.6407675438596491
LightGBM with RFECV Feature Selection,33,"volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",5,0.6462809917355372,0.7027777777777777,0.6470588235294118,0.7689969604863222,0.6700696004581296
XGBoost with RFECV Feature Selection,36,"volume, turnover, MACDh_12_26_9, BBB_5_2.0, BBP_5_2.0, RSI, SMA_10, SMA_20, STOCHk_14_3_3, STOCHd_14_3_3, CCI",1,0.6046931407942239,0.5427974947807933,0.6701030927835051,0.45614035087719296,0.6492271571121111
