model,duration,best_features,fold,accuracy,f1_score,precision,recall,auc_roc
LightGBM with SHAP Feature Selection,12,"BBP_5_2.0, BBB_5_2.0, volume, ROC, CCI, R3, STOCHk_14_3_3, RSI, turnover, avg_vol_last_100",2,0.6290322580645161,0.6733298264071542,0.6557377049180327,0.6918918918918919,0.6713354743261285
LightGBM with SHAP Feature Selection,12,"BBP_5_2.0, BBB_5_2.0, R3, CCI, RSI, MACDh_12_26_9, turnover, ROC, S3, STOCHk_14_3_3",3,0.6272401433691757,0.6560088202866594,0.6336528221512248,0.68,0.6812816020025032
LightGBM with SHAP Feature Selection,12,"BBP_5_2.0, BBB_5_2.0, RSI, turnover, CCI, STOCHk_14_3_3, MACDh_12_26_9, volume, ROC, ATR",4,0.6451612903225806,0.6928645294725958,0.6504854368932039,0.7411504424778761,0.6602689346052178
LightGBM with SHAP Feature Selection,12,"BBP_5_2.0, BBB_5_2.0, CCI, volume, RSI, turnover, STOCHk_14_3_3, ATR, MACD_12_26_9, STOCHd_14_3_3",5,0.6612903225806451,0.7004754358161648,0.6603585657370518,0.7457817772778402,0.7094266082981665
XGBoost with SHAP Feature Selection,15,"BBP_5_2.0, BBB_5_2.0, MACDh_12_26_9, volume, turnover, CCI, ROC, R3, STOCHk_14_3_3, RSI",1,0.5822122571001495,0.689961175818081,0.5711662075298439,0.8711484593837535,0.6004834626158155
XGBoost with SHAP Feature Selection,15,"BBP_5_2.0, BBB_5_2.0, turnover, CCI, MACDh_12_26_9, STOCHk_14_3_3, STOCHd_14_3_3, RSI, volume, S3",2,0.5866965620328849,0.6349834983498349,0.6127388535031847,0.6589041095890411,0.6252951514059121
XGBoost with SHAP Feature Selection,15,"BBP_5_2.0, BBB_5_2.0, turnover, CCI, STOCHd_14_3_3, volume, MACDh_12_26_9, ATR, ROC, RSI",3,0.6113602391629297,0.6476964769647696,0.6322751322751323,0.6638888888888889,0.6415722761596548
XGBoost with SHAP Feature Selection,15,"BBP_5_2.0, BBB_5_2.0, turnover, CCI, S3, STOCHd_14_3_3, STOCHk_14_3_3, ROC, volume, ATR",4,0.6150971599402093,0.6503733876442634,0.6172680412371134,0.6872309899569584,0.637638016281053
XGBoost with SHAP Feature Selection,15,"BBP_5_2.0, BBB_5_2.0, turnover, S2, CCI, STOCHk_14_3_3, STOCHd_14_3_3, volume, ATR, BBL_5_2.0",5,0.5994020926756353,0.5927051671732523,0.6478405315614618,0.5462184873949579,0.6560771744595275
LightGBM with SHAP Feature Selection,15,"BBP_5_2.0, BBB_5_2.0, volume, MACDh_12_26_9, R3, CCI, STOCHd_14_3_3, RSI, S3, turnover",1,0.5881913303437967,0.6940588561910049,0.5749770009199632,0.8753501400560224,0.6274375134669252
LightGBM with SHAP Feature Selection,15,"BBP_5_2.0, BBB_5_2.0, MACDh_12_26_9, turnover, R3, CCI, STOCHd_14_3_3, volume, ROC, STOCHk_14_3_3",2,0.6225710014947683,0.6697187704381948,0.6408010012515645,0.7013698630136986,0.6512662220620042
LightGBM with SHAP Feature Selection,15,"BBP_5_2.0, BBB_5_2.0, turnover, CCI, STOCHd_14_3_3, STOCHk_14_3_3, ATR, ROC, MACDh_12_26_9, S3",3,0.6098654708520179,0.6167400881057269,0.6542056074766355,0.5833333333333334,0.6713097806544409
LightGBM with SHAP Feature Selection,15,"BBP_5_2.0, BBB_5_2.0, turnover, CCI, S2, STOCHk_14_3_3, STOCHd_14_3_3, ROC, ATR, RSI",4,0.6203288490284006,0.6626826029216467,0.6168108776266996,0.7159253945480631,0.6546330719799811
LightGBM with SHAP Feature Selection,15,"BBP_5_2.0, BBB_5_2.0, CCI, turnover, ATR, STOCHk_14_3_3, volume, STOCHd_14_3_3, MACDh_12_26_9, RSI",5,0.6270553064275037,0.6770226537216829,0.6293622141997594,0.7324929971988795,0.6744303490627019
XGBoost with SHAP Feature Selection,18,"BBP_5_2.0, BBB_5_2.0, ROC, volume, STOCHk_14_3_3, STOCHd_14_3_3, CCI, RSI, MACDh_12_26_9, ATR",1,0.5619389587073609,0.598023064250412,0.5836012861736335,0.6131756756756757,0.5891937195816507
XGBoost with SHAP Feature Selection,18,"BBP_5_2.0, BBB_5_2.0, ROC, STOCHk_14_3_3, ATR, volume, RSI, R3, avg_vol_last_100, CCI",2,0.5897666068222621,0.6201163757273483,0.6094771241830066,0.6311336717428088,0.6161381849475724
XGBoost with SHAP Feature Selection,18,"BBP_5_2.0, BBB_5_2.0, volume, STOCHk_14_3_3, ROC, CCI, ATR, avg_vol_last_100, MACDs_12_26_9, MACDh_12_26_9",3,0.5879712746858169,0.6371541501976284,0.6219135802469136,0.653160453808752,0.6172822999585845
XGBoost with SHAP Feature Selection,18,"BBP_5_2.0, BBB_5_2.0, ROC, ATR, volume, CCI, STOCHd_14_3_3, STOCHk_14_3_3, RSI, time",4,0.6059245960502693,0.6651411136536994,0.6097902097902098,0.7315436241610739,0.6205041330880257
XGBoost with SHAP Feature Selection,18,"BBP_5_2.0, BBB_5_2.0, volume, ROC, ATR, time, MACD_12_26_9, CCI, MACDh_12_26_9, STOCHd_14_3_3",5,0.6068222621184919,0.6456310679611651,0.6119631901840491,0.6832191780821918,0.6497350736624451
LightGBM with SHAP Feature Selection,18,"BBP_5_2.0, BBB_5_2.0, ROC, volume, RSI, STOCHk_14_3_3, STOCHd_14_3_3, R3, CCI, MACDh_12_26_9",1,0.6095152603231598,0.692144373673036,0.5956151035322778,0.8260135135135135,0.6066292585689137
LightGBM with SHAP Feature Selection,18,"BBP_5_2.0, BBB_5_2.0, STOCHd_14_3_3, ATR, CCI, RSI, avg_vol_last_100, ROC, MACDh_12_26_9, STOCHk_14_3_3",2,0.585278276481149,0.6435185185185184,0.5914893617021276,0.7055837563451777,0.6321204297735633
LightGBM with SHAP Feature Selection,18,"BBP_5_2.0, BBB_5_2.0, volume, STOCHk_14_3_3, ATR, avg_vol_last_100, MACDh_12_26_9, RSI, ROC, R3",3,0.5897666068222621,0.5908683974932856,0.66,0.5348460291734197,0.6442218953917997
