model,duration,best_features,accuracy
RFA_LogisticRegression,36,"['BBP_5_2.0', 'low', 'STOCHk_14_3_3', 'open', 'volume', 'time', 'high', 'turnover', 'close', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'PP', 'S1', 'R1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'BBB_5_2.0', 'RSI', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI']",0.5154796902165323
RFE_LogisticRegression,36,"['volume', 'R2', 'BBB_5_2.0', 'BBP_5_2.0', 'STOCHk_14_3_3', 'CCI']",0.5515432725959043
SelectKBest_LogisticRegression,36,"['volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'RSI', 'ROC', 'CCI']",0.5491368059789112
LogisticRegression_LogisticRegression,36,['time'],0.5154796902165323
RFA_LogisticRegression,39,"['BBP_5_2.0', 'time', 'BBB_5_2.0', 'close', 'volume', 'high', 'avg_vol_last_100', 'open', 'low', 'turnover', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'RSI', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI']",0.5330727824391177
RFE_LogisticRegression,39,"['volume', 'turnover', 'MACDh_12_26_9', 'R3', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI']",0.5470936442231563
SelectKBest_LogisticRegression,39,"['open', 'low', 'volume', 'turnover', 'R1', 'R2', 'R3', 'BBL_5_2.0', 'BBB_5_2.0', 'SMA_20']",0.5483864796935028
LogisticRegression_LogisticRegression,39,['time'],0.5330727824391177
RFA_LogisticRegression,42,"['BBP_5_2.0', 'time', 'turnover', 'open', 'close', 'high', 'low', 'volume', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'BBB_5_2.0', 'RSI', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI']",0.5187913544846299
RFE_LogisticRegression,42,"['volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'S3', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ROC', 'CCI']",0.5282779884685351
