date,time,open,close,high,low,volume,turnover,color,avg_vol_last_100,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,PP,R1,S1,R2,S2,R3,S3,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,RSI,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,STOCHk_14_3_3,STOCHd_14_3_3,ATR,ROC,CCI
2023-02-01,20:28:00,23251.47150847189,23526.975,23660.1,23251.47150847189,688.51947869,16225020.135801798,green,115.6501003686,61.3064885413587,48.98682198077799,12.319666560580712,23324.947672314593,23551.95232768541,23177.995344629184,23698.904655370818,22950.990689258368,23925.909310741634,22804.03836157296,22855.57428712829,23239.234999999997,23622.895712871705,3.301835993066965,0.8749927870464794,83.76463188848172,23239.234999999997,23120.0775,23093.145,23299.002539212313,23192.710268489336,23125.745129143834,76.42527956341239,65.07651661937486,183.25948708311003,2.2690744067315873,277.2799288416978
2023-02-01,20:57:00,23389.223254235945,23643.25,23799.9,23389.223254235945,486.20124982,11514781.14821246,green,119.3077838546,94.4304720273758,65.68864437343606,28.74182765393973,23479.515502823964,23707.55949717604,23298.93100564793,23888.143994352075,23070.887011295854,24116.18798870415,22890.30251411982,22916.899154917784,23357.390000000003,23797.88084508222,3.771747143685305,0.8244789343427109,86.32591855443441,23357.390000000003,23183.93,23122.527500000004,23413.75169280821,23274.626583309455,23175.031307320613,86.62041902963557,75.74218607184218,199.50357698889192,2.775625442164605,218.54818192203706
2023-02-01,21:26:00,23516.23662711797,23705.475,23775.0,23516.23662711797,217.70927734,5162902.217163669,red,120.3884475963,124.2699978693854,76.42253617235653,47.84746169702887,23610.791084745317,23832.35891525469,23421.682169490632,24021.467830509373,23200.11433898126,24243.035661018745,23011.005423726576,23088.86199077974,23485.394999999997,23881.928009220253,3.3768476895556296,0.7775052705356957,87.46555035403321,23485.394999999997,23256.665,23153.74375,23510.992795205475,23352.96265907137,23225.54975424246,87.40662547949223,83.48410802418012,203.73641955268744,3.1654018767849794,165.09408685466715
2023-02-01,21:55:00,23610.855813558985,23731.175000000003,23818.0,23610.855813558985,240.97866462,5722370.091395153,green,121.875810216,148.28250389523964,80.34803375856862,67.93447013667102,23665.570542372658,23814.904457627345,23556.141084745315,23924.333915254687,23406.80716949063,24073.667830509374,23297.377711863286,23359.835326953926,23602.375,23844.914673046074,2.0552141303243787,0.765523570602685,87.91359017430169,23602.375,23330.097499999996,23185.7625,23584.386863470318,23421.728539240212,23273.704539552702,89.51753818904182,87.84819423272326,203.97983147328227,3.193154714667463,136.92901058103897
2023-02-01,22:24:00,23671.015406779494,23721.925000000003,23770.7,23650.0,136.36587333,3233858.93591734,red,122.4184885093,164.66800002495074,77.38682391062378,87.28117611432697,23720.01027118633,23829.164728813674,23622.02054237266,23927.154457627345,23512.866084745314,24036.30891525469,23414.876355931643,23514.02632014839,23665.760000000002,23817.493679851614,1.282305574396188,0.6850775650301488,86.71219790891867,23665.760000000002,23403.572500000002,23218.809999999998,23630.232908980215,23476.30971392381,23316.392202452444,91.45458235284963,89.45958200712795,198.0312720823336,3.1963475285675598,109.26103426966566
2023-02-01,22:53:00,23696.47020338975,23731.25,23770.3,23683.5,113.08936357,2684294.877020937,green,121.1254881238,176.37295568185073,71.273423654019,105.09953202783173,23714.208333333332,23778.416666666664,23657.716666666664,23834.908333333333,23593.50833333333,23899.116666666665,23537.016666666663,23640.5187323193,23706.615,23772.711267680705,0.5576187716441425,0.6863569673782856,86.90645542791172,23706.615,23472.925,23251.225,23663.90527265348,23522.662493210388,23355.902468885542,91.73866421568646,90.90359491919268,190.0861812193097,3.010388395555557,95.12628097148114
2023-02-01,23:22:00,23713.860101694878,23732.6,23782.6,23678.5,85.12750924,2020059.918355394,red,120.6481979453,183.64124908048325,62.83337364212122,120.80787543836203,23728.350000000002,23773.200000000004,23686.400000000005,23815.15,23641.550000000003,23860.000000000004,23599.600000000006,23704.00460446371,23724.485000000004,23744.9653955363,0.17265197146572378,0.6981162909088615,86.93623118304724,23724.485000000004,23540.9375,23283.53375,23686.80351510232,23560.832948990315,23391.77842422978,91.7823223039216,91.65852295748596,183.94431113221606,2.9503339663094748,82.06854575963251
2023-02-01,23:51:00,23723.23005084744,23715.7,23757.8,23690.1,126.0565829,2990559.091619729,green,120.5334308142,185.89485503005562,52.069583673354884,133.82527135670074,23731.233333333334,23783.966666666667,23679.86666666667,23835.333333333332,23627.133333333335,23888.066666666666,23575.76666666667,23713.28781735047,23726.530000000002,23739.772182649536,0.11162342449177176,0.09107949623459417,84.35022581268981,23726.530000000002,23605.9625,23315.2275,23696.435676734884,23588.990594628438,23422.628098112655,91.59160539215684,91.70419730392167,175.64114605134355,2.8191515881979323,70.16721157686845
2023-02-02,00:20:00,23719.46502542372,23928.65,24182.1,23712.3,1034.84952927,24802280.32942613,green,129.3550675063,202.52950521813182,54.963387089144874,147.56611812898694,23721.199999999997,23752.299999999996,23684.599999999995,23788.899999999998,23653.499999999996,23819.999999999996,23616.899999999994,23602.927881689062,23766.025,23929.12211831094,1.372523325301051,0.9985526466812262,88.85065247751528,23766.025,23684.2,23357.995,23773.84045115659,23650.746850150543,23470.820660197165,88.43137655775074,90.60176808460979,196.65249276196184,3.380133520404471,111.048909421882
2023-02-02,00:49:00,23824.057512711857,24123.525,24264.0,23824.057512711857,329.00490254,7944519.704349235,red,131.39597993349997,228.79990630316388,64.98703053934153,163.81287576382235,23941.016666666663,24169.733333333326,23699.933333333327,24410.816666666662,23471.216666666664,24639.533333333326,23230.133333333328,23527.77850395663,23846.345,24164.911496043373,2.671826613624616,0.9350426103224984,91.31268749412882,23846.345,23756.052499999998,23411.965,23890.401967437727,23736.706513759535,23532.982978273627,87.99532094254515,89.33943429748429,214.0303495138319,3.0699636829737296,131.1124376018046
